"bubble_tea_id","day","start","end","is_overnight"
"kXrHt3XkNd_q5rISuvuvVg",3,"1100","2130",False
"kXrHt3XkNd_q5rISuvuvVg",4,"1100","0230",True
"kXrHt3XkNd_q5rISuvuvVg",5,"1130","0230",True
"lW0RlsoTxHYLjUXlr4LnYQ",2,"0800","1800",False
"lW0RlsoTxHYLjUXlr4LnYQ",3,"0800","1800",False
"lW0RlsoTxHYLjUXlr4LnYQ",4,"0800","2000",False
"lW0RlsoTxHYLjUXlr4LnYQ",5,"0900","2000",False
"hFcleprwDx-bv5PdXIT2UA",1,"0900","1800",False
"hFcleprwDx-bv5PdXIT2UA",2,"0900","1800",False
"hFcleprwDx-bv5PdXIT2UA",3,"0900","1800",False
"hFcleprwDx-bv5PdXIT2UA",4,"0900","1800",False
"xj7dQqYoggyDuARZ9DYGgA",0,"1100","2200",False
"xj7dQqYoggyDuARZ9DYGgA",1,"1100","2200",False
"xj7dQqYoggyDuARZ9DYGgA",2,"1100","2200",False
"xj7dQqYoggyDuARZ9DYGgA",3,"1100","2200",False
"xj7dQqYoggyDuARZ9DYGgA",4,"1100","2200",False
"xj7dQqYoggyDuARZ9DYGgA",5,"1100","2200",False
"hFcleprwDx-bv5PdXIT2UA",5,"0900","1800",False
"IzehIGZdpgGSQ3MTQqVORQ",6,"1200","2300",False
"hFcleprwDx-bv5PdXIT2UA",6,"0900","1800",False
"xj7dQqYoggyDuARZ9DYGgA",6,"1100","2200",False
"lW0RlsoTxHYLjUXlr4LnYQ",6,"0900","1800",False
"kXrHt3XkNd_q5rISuvuvVg",6,"1130","2130",False
"HuySsoWgovd79SlyWEakqQ",0,"1100","2100",False
"T0RnEZUDCSXYnbNcn4OizQ",0,"1100","2200",False
"T0RnEZUDCSXYnbNcn4OizQ",1,"1100","2200",False
"T0RnEZUDCSXYnbNcn4OizQ",2,"1100","2200",False
"T0RnEZUDCSXYnbNcn4OizQ",3,"1100","2200",False
"HuySsoWgovd79SlyWEakqQ",1,"1100","2100",False
"HuySsoWgovd79SlyWEakqQ",2,"1100","2100",False
"HuySsoWgovd79SlyWEakqQ",3,"1100","2100",False
"8QpivqILuL05_5h41eoMxw",0,"1100","2130",False
"8QpivqILuL05_5h41eoMxw",1,"1100","2130",False
"RYgv9nWL3f0Y79leklYU1A",0,"1130","2300",False
"RYgv9nWL3f0Y79leklYU1A",1,"1130","2300",False
"RYgv9nWL3f0Y79leklYU1A",2,"1130","2300",False
"RYgv9nWL3f0Y79leklYU1A",3,"1130","2300",False
"psXgyblQ-FOOZJc8wnAT0w",0,"1100","2200",False
"psXgyblQ-FOOZJc8wnAT0w",1,"1200","2200",False
"mMT7KYJtAWOOhGLKZNbeYg",0,"1130","2230",False
"mMT7KYJtAWOOhGLKZNbeYg",1,"1130","2230",False
"psXgyblQ-FOOZJc8wnAT0w",2,"1200","2200",False
"psXgyblQ-FOOZJc8wnAT0w",3,"1200","2200",False
"CXmJB5LZeda27UeBGzk75Q",0,"1130","2145",False
"CXmJB5LZeda27UeBGzk75Q",1,"1130","2145",False
"7fvPEXk3i7H1R4v3sOluCQ",0,"1000","2200",False
"mMT7KYJtAWOOhGLKZNbeYg",2,"1130","2230",False
"mMT7KYJtAWOOhGLKZNbeYg",3,"1130","2230",False
